subject,sendings,opens,open_rate
3-for-2 on our favourite gift ideas &#x2728; Don't miss out – only until midnight!,8968420,2281950,0.254442812
2 days only | Unlock the HIGHEST Valentine's discount levels!,8923225,2262500,0.253551827
WINTER SALE: Up to 80% off heartwarming Photo Gifts &#x26c4;,8907334,2487755,0.279292884
Spring Sale I Canvas Prints & Photo Gifts – Up to 92% OFF! &#x1f338;,8891507,2618856,0.294534549
Your exclusive Canvas offer – just £22 today!,8867241,2441203,0.275305814
Your code TK4AK9FL is about to expire! &#x1f525; Don’t miss out – act now!,8866160,2554480,0.288115712
&#x1f389; Surprise: More products added to Singles' Day Sale! &#x1f6cd;&#xfe0f; Don’t miss out!,8836797,2194249,0.248308182
&#x1f929; Prime Deals Sale– Bestsellers from just £2.40! ,8814128,2454715,0.278497771
Your photos as artwork – exclusive Canvas offer &#x2728; ,8812733,2470823,0.280369665
"24h Halloween Flash Sale - no tricks, only treats!",8785424,2527029,0.287638821
"{% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, don't{% else %}Don't{% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, don't{% else %}Don't{% endif %}{% endif %} let your discount of up to 81% slip away! ",8690364,2438792,0.280631743
Your free MIXBLOX is waiting | Use code GKXSGS57,8680936,2548584,0.29358401
"&#x1f4b0; Get £10 off your order{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %} | Save now!",8663789,2264237,0.261344892
2 days only | Unlock the ultimate Valentine’s discounts!,8623167,2252342,0.261196611
Your code LIWR6FBG is still valid! Extra discount on photo gifts!,8609685,2580893,0.299766252
"Up to 81% off your favourite pieces{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}",8591601,2381948,0.277241459
"{% if contact.1 == true %}{{ contact.1 }}, stress-free {% else %}Stress-free {% endif %}holidays start with early gifts",8575484,2473355,0.288421621
"&#x1f525; Big Canvas, bigger savings - 87% off now!",8542899,2453610,0.287210466
Last-minute gift &#x23f0; Save 10% on vouchers! &#x1f385;&#x1f3fb;,8487513,2576172,0.303524955
Wow! Wall and Home Décor from only £5,8466258,2066340,0.244067686
"&#x1f4f8; Your photos, your decorations  – Starting at just £7.80!   ",8326494,1995904,0.239705211
"We're giving you £10{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}Hurry and save!",8297766,2361379,0.284580091
"Our gift &#x1f381; Free MIXPIX & Ornaments for you{% if contact.1 == true %} , {{ contact.1 }}! {% else %}! {% endif %}",8291248,2467244,0.29757209
"Thank you{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}Wall Décor from just €3.83 – exclusively for you!",8278901,2386439,0.288255531
"Last chance{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %} Most popular Canvas formats heavily discounted",8273475,2350236,0.284068786
"Save up to 91% & get everything in time for Christmas{% if contact.1 == true %}, {{ contact.1 }}! {% else %} ! {% endif %}",8268404,2374846,0.287219396
FLASH SALE &#x26a1;&#xfe0f; Acrylic Prints from £7.78 | Christmas delivery guarantee,8246955,2411886,0.292457762
Only 4 Days: Cosy autumn deals from £6.50,8200317,1914465,0.233462316
Breaking: Delivery guarantee extended for Christmas gifts! &#x1f525;,8181494,2334098,0.285289948
&#x1f381; Don’t wait for December! Save up to 92% on ALL products!,8161825,2319437,0.284181173
Prime Deals you can’t miss – up to 87% off in your Showroom!,8158678,2387415,0.292622775
"&#x1f384;Christmas Market: Everything for only £5, £15, £25!",8156466,2369628,0.29052141
"&#x1f680; Attention{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}Your code ARJ32AA1 is about to expire soon!",8148809,2234748,0.274242285
"&#x1f385;&#x1f3fc; A hidden secret discount for you{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}",8131263,2304037,0.283355366
Countdown to savings: Up to 86% off with our exclusive New Year's Deals! &#x1f31f;,8060099,1831839,0.227272519
"{% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, your{% else %}Your{% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, your{% else %}Your{% endif %}{% endif %} parents deserve this – up to 81% OFF and a little extra gift inside!",8048959,2205081,0.273958533
"&#x1f385; A Christmas in July Mystery discount, {% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }} – ready {% else %}Ready {% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }} – ready {% else %}Ready {% endif %}{% endif %}to unwrap?",8034812,2305163,0.286896943
Exclusive offer: Get up to 5 MIXPIX for free + free shipping!,8027657,2194075,0.273314493
4 days: Top Canvas formats up to 74% off,8024103,2018831,0.251595848
"{% if contact.1 == true %}{{ contact.1 }}, make {% else %}Make {% endif %}sure you don’t miss out on this great deal!",7959792,2320434,0.291519427
Now or never! Unmissable Canvas Print deals!,7952310,2156288,0.271152407
"From £3.60 – Save big before it's gone{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}",7942144,2213363,0.278685831
PRICE DROP! Starting from only £2.40! &#x2b07;&#xfe0f; Order now to save big!,7937538,2250622,0.283541572
&#x1f6a8; Late-night deal: Up to 86% discount!,7889685,2092184,0.265179662
"&#x1f430; Easter Market: Everything for only £5, £15, £25!",7857197,2149449,0.273564351
"&#x2764;&#xfe0f; Thank you{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %}",7833990,2021525,0.258045389
"{% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, limited-time{% else %}Limited-time{% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, limited-time{% else %}Limited-time{% endif %}{% endif %} offer: TOP  Canvas with up to 71% off!",7788841,2125926,0.272945102
"&#x1f31f; {% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, spin {% else %}Spin {% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, spin {% else %}Spin {% endif %}{% endif %}the wheel for exclusive prizes!",7784100,2067461,0.265600519
"{% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, find{% else %}Find {% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, find{% else %}Find {% endif %}{% endif %} your Father’s Day gift inspiration - SPECIAL discount!",7751983,2164031,0.279158378
"The countdown is on: Up to 90% off – until midnight{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}",7694347,2273314,0.295452493
&#x1f389; Score big: 50% off on your 2nd to 5th items!,7680029,2225113,0.289727161
"Thank you for your trust{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %} &#x2764;&#xfe0f; ",7639248,2189719,0.286640648
Freshen up your home and save up to 87%,7633384,2242827,0.293818181
&#x23f3; Your code ARJ32AA1 expires in 48 hours – use it now!,7630748,2138596,0.280260336
Sale ends tonight &#x23f0; Create something you’ll love,7625953,2213919,0.290313748
Use code XXXXXX &#x1f381; Get a FREE Canvas & free delivery!,7614725,2255390,0.296187978
Exclusive Parents' Day Sale: Up to 81% off Photo Products!,7612308,1811216,0.237932569
From £2.70 | Up to 10% EXTRA discount on Calendars & Photo Books &#x1f5d3;&#xfe0f;,7579445,2080200,0.274452813
&#x1f929; Unwrap our best deals on bestsellers!,7567922,1759435,0.232485879
How much will you save? Only one way to find out &#x1f92b;,7563146,2197459,0.290548272
&#x23f3; Your code ARJ32AA1 expires at midnight – act now!,7547506,2162990,0.286583409
&#x1f69a; Free shipping? Don’t miss out!,7523861,2121474,0.281966134
Reveal the secret &#x1f92b; Your exclusive deal awaits!,7498770,2168384,0.28916529
&#x1f6a8; Last chance: Code R2T85AOV expires in a few hours!,7482552,2157243,0.288303108
&#x23f0; Final hours: Highest discount in your Showroom!,7453618,1779965,0.238805504
End of summer = big savings &#x1f31e; Up to 87% off ends soon!,7445603,2158561,0.289910837
Weekend Deal: Creative gifts with up to 87% OFF!,7440861,2166861,0.291211057
Best-selling Wall Décor - Now from £3.83,7408555,2057612,0.277734592
"Exclusive early access: £10 discount on EVERYTHING{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %} &#x1f389;",7394315,2090859,0.282765746
"Attention{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %}{% endif %} All Wall Décor up to 79% off &#x1f525;",7393454,1884787,0.254926453
"Final call{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %} Your Thank-You discount ends tonight - up to 87% off!",7391225,2127517,0.287843625
&#x1f525; Discover MEGA discounts on Photo Products – Up to 87% OFF!,7386865,2131269,0.28852145
"&#x1f381; {% if contact.1 == '' %}{% if contact.1 == true %}{{ contact.1 }}, you {% else %}You {% endif %}{% else %}{% if contact.1 == true %}{{ contact.1 }}, you {% else %}You {% endif %}{% endif %}received a gift from us!",7366714,2061828,0.279884355
NEW: Photo Christmas Ornaments &#x1f384; Get 8 for FREE!,7362978,2064398,0.280375413
"We're gifting you a Product for FREE{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %} | 48h only! ",7355170,2147621,0.291987949
Review your best year with 10% off | Get Calendars & Photo Books from £2.70!,7353749,2115793,0.287716238
EXTRA 30% discount | Code in this mail &#x1f440;,7276902,2002539,0.275191146
"&#x1f381; FREE product of your choice{% if contact.1 == '' %}{% if contact.1 == true %}, {{ contact.1 }}{% else %}{% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}{% else %}{% endif %}{% endif %} | Get it now!",7229679,2160190,0.298794732
&#x1f4e2; Supercharge your savings: bigger Canvas = bigger discount!,7226974,2152514,0.297844437
Calendars at amazing prices &#x1f389; Use code LIWR6FBG,7153173,2085501,0.291549079
&#x1f6a8; £6 off your order | Last chance before Christmas!,7127824,2031776,0.285048565
"&#x1f6a8; Wait{% if contact.1 == true %}, {{ contact.1 }}...{% else %}...{% endif %} did you see what’s trending right now?",7113083,1978419,0.278138045
"&#x1f381; We're gifting you £10{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %} ",7105171,2067557,0.290993278
Flashback to Happiness: 10% off ALL Photo Books | Spring Sale!,7087420,1643274,0.231857855
Only today I Canvas Prints & Photo Gifts up to 80% off,6992068,1847881,0.26428247
"Hey{% if contact.1 == true %}, {{ contact.1 }}!{% else %}!{% endif %} Up to -87%: Save big on Photo Gifts! ",6957861,1987426,0.285637497
&#x1f929; Black Friday Sale – Bestsellers from just £2.40!,6925228,2001664,0.289039437
Spooky savings: Canvas Prints from only £3.96! &#x1f383;,6913956,1955947,0.282898387
"&#x2764;&#xfe0f; Thank you{% if contact.1 == '{{ contact.1 }}' %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% else %}{% if contact.1 == true %}, {{ contact.1 }}! {% else %}! {% endif %}{% endif %}",6907364,1628819,0.235809058
"{% if contact.1 == true %}{{ contact.1 }}, it's{% else %}It's{% endif %} your last chance to celebrate with us!",6887387,2003278,0.290861832
&#x2728; Art that speaks – Exclusive Canvas offer inside,6851668,1911066,0.278919819
Only 48 hours &#x23f3; Discounts up to 85%,6846372,1672732,0.244323855
(48h) MEGA Wall Décor sale &#x1f338; From just £2.40,6835605,1703265,0.249175457
&#x1f525; Not coming back – Canvas for £15.84 today!,6825828,1938641,0.284015507
Final Chance! Delivery Guarantee expires at midnight!,6811844,2188059,0.321213903
Last chance &#x1f4e2; Wall Decoration from £2.40 ,6792540,1724220,0.253840242
 &#x1f6a8; Late-night deal: up to 90% discount!,6786938,1998086,0.294401687
Final hours: Up to 75% off in our exclusive Christmas Sale &#x1f31f;,6781021,1913272,0.282151021
